k,status,rss,rmse,mae,r2,trace_hat,aicc_fixed_partition,min_positive_same_regime,median_positive_same_regime,max_positive_same_regime
127,fit,46.29333440712833,0.539585995542613,0.3617723010197856,0.7088469534142873,32.01957270866457,339.0463132626064,15.0,27.0,53.0
128,fit,46.34314104158818,0.5398761856750537,0.36198245372851995,0.7085337041409548,31.882815288153346,338.77787187792524,15.0,27.0,53.0
129,fit,46.39405769916149,0.5401726820284609,0.3621511093525104,0.7082134735901793,31.736465317488243,338.4832920037431,15.0,27.0,53.0
130,fit,46.452633307522895,0.5405135765754716,0.36238611381622815,0.7078450735375919,31.592655436341577,338.22394799760787,15.0,27.0,53.0
131,fit,46.50940025838122,0.5408437401972713,0.36274714497699173,0.7074880486894263,31.40393434705346,337.8161209704592,15.0,27.0,53.0
132,fit,46.54605983747298,0.5410568497866816,0.36282131275643015,0.7072574852989121,31.293830140319642,337.5910053222034,15.0,27.0,53.0
133,fit,46.576451766574976,0.5412334606334651,0.36302022009040547,0.7070663410907234,31.16851694587203,337.29674171642887,15.0,27.0,53.0
134,fit,46.61249337116913,0.5414428276999618,0.36320261395369957,0.7068396643322696,31.065525863325576,337.0931807388641,15.0,27.0,53.0
135,fit,46.63403432014595,0.5415679212566521,0.36340215470718923,0.7067041866657487,30.944245214578853,336.78278608811775,15.0,27.0,53.0
136,fit,46.65884568250829,0.5417119711049564,0.3634766503832009,0.7065481403615831,30.813513289674994,336.4544153854026,15.0,27.0,53.0
137,fit,46.694668903117126,0.5419198860649851,0.3637166544826864,0.7063228370873137,30.666786594195386,336.11399578649804,15.0,27.0,53.0
138,fit,46.720460179088285,0.542069527086262,0.36386017627628686,0.7061606278044762,30.533736142950808,335.7833773638347,15.0,27.0,53.0
139,fit,46.756090062971424,0.5422761837989417,0.3639948543168118,0.7059365404844564,30.410665844131046,335.5183400021008,16.0,27.0,53.0
140,fit,46.77617163517793,0.5423926241310909,0.3641369069509188,0.705810241288189,30.301018205082524,335.24312593775323,16.0,27.0,53.0
141,fit,46.81694401723364,0.5426289605131972,0.36436714950048993,0.705553811212367,30.14353151017804,334.889343522418,16.0,27.0,53.0
142,fit,46.865554216019,0.5429105942126159,0.36462695227317116,0.7052480866917044,30.022571541986697,334.6770482064652,16.0,27.0,53.0
143,fit,46.921295056702775,0.5432333611196487,0.36490533774831624,0.7048975153666492,29.890351332255474,334.4544453215202,16.0,27.0,53.0
144,fit,46.96678446535351,0.5434966251441712,0.36503884612379844,0.7046114184568961,29.7500613394015,334.1727309501141,16.0,27.0,53.0
145,fit,47.013436591606,0.5437664858578323,0.3652093086150826,0.7043180088578238,29.62626081124055,333.9468189172421,16.0,27.0,53.0
146,fit,47.03899029633433,0.5439142453238871,0.365273510723803,0.7041572937337464,29.513577524627667,333.6845601738265,16.0,27.0,53.0
147,fit,47.078021130010946,0.5441398562939642,0.36543362900215776,0.703911816792384,29.360715666635393,333.34444405711736,16.0,27.0,53.0
148,fit,47.11633180633022,0.5443612135865512,0.3656792095374895,0.7036708691425773,29.211459338433453,333.01401078961237,16.0,27.0,53.0
149,fit,47.16101824589475,0.544619296065735,0.365862437691693,0.7033898223528632,29.092475387446733,332.7989891322269,16.0,27.0,53.0
150,fit,47.19678829718103,0.544825794656559,0.36606384215484683,0.7031648534768489,28.973380440820492,332.55412896808525,17.0,27.0,53.0
151,fit,47.222294291943136,0.5449729916101788,0.3661726871077772,0.7030044384154519,28.86237427955817,332.3000514631784,17.0,27.0,53.0
152,fit,47.245479173969905,0.5451067587662447,0.3663360614195613,0.7028586215473591,28.755462647064785,332.0512130807622,17.0,27.0,53.0
153,fit,47.28351405696479,0.5453261332021763,0.366474903486436,0.7026194084467623,28.610791179743202,331.73769575717074,17.0,27.0,53.0
154,fit,47.31908530090636,0.5455312182346611,0.3666562490879468,0.7023956899314066,28.48707876150377,331.48054296097314,17.0,27.0,53.0
155,fit,47.379265851499746,0.545878012102963,0.3669657082873265,0.7020171959025173,28.312554464669457,331.15240989493407,17.0,27.0,53.0
156,fit,47.41565276402673,0.5460875869344969,0.36708701551949774,0.7017883473960582,28.151323487354016,330.7859153335781,17.0,27.0,53.0
157,fit,47.46127758259022,0.5463502550089696,0.36724841317840495,0.7015013988516339,28.00456724363456,330.4952008155827,17.0,27.0,53.0
158,fit,47.516866241084074,0.5466701156572673,0.3675450001806359,0.7011517846472699,27.848325406123415,330.2101173282198,17.0,27.0,53.0
159,fit,47.586618782594336,0.5470712116190672,0.36790500486402866,0.7007130894176457,27.58499129485223,329.6517492043414,17.0,27.0,53.0
