AreaKey,regime,regime_local_k,unified_fitted_z,reference_independent_fitted_z,delta_fitted,unified_Intercept,reference_independent_Intercept,delta_Intercept,unified_PctFB,reference_independent_PctFB,delta_PctFB,unified_PctBlack,reference_independent_PctBlack,delta_PctBlack,unified_PctRural,reference_independent_PctRural,delta_PctRural
13079,5,27,-0.49775195670831307,-0.4977519567083131,5.551115123125783e-17,0.06518671881675663,0.0651867188167566,2.7755575615628914e-17,0.3121824013183003,0.3121824013183002,5.551115123125783e-17,-0.10306147392550821,-0.1030614739255082,-1.3877787807814457e-17,-0.46456609766876217,-0.4645660976687621,-5.551115123125783e-17
13081,4,22,-0.0007556720816977447,-0.0007556720816976,-1.4474099002681484e-16,-0.059973990817140964,-0.0599739908171409,-6.245004513516506e-17,-0.053381866659873545,-0.0533818666598735,-4.163336342344337e-17,-0.16658991386263522,-0.1665899138626351,-1.1102230246251565e-16,-0.1870005333813165,-0.1870005333813165,0.0
13083,1,53,-0.44301409643234274,-0.4430140964323429,1.6653345369377348e-16,0.09434311286356845,0.0943431128635685,-5.551115123125783e-17,0.7911110223199265,0.7911110223199266,-1.1102230246251565e-16,0.028927926239167512,0.0289279262391675,1.0408340855860843e-17,-0.25407685341982483,-0.254076853419825,1.6653345369377348e-16
13085,1,53,-0.41452773784602703,-0.4145277378460276,5.551115123125783e-16,0.29395701348544534,0.2939570134854453,5.551115123125783e-17,0.6807476779358508,0.6807476779358509,-1.1102230246251565e-16,0.02224393779381384,0.022243937793814,-1.5959455978986625e-16,-0.3395161029941951,-0.3395161029941951,0.0
13087,2,19,-0.1217159316851438,-0.1217159316851438,0.0,-0.4221654314994716,-0.4221654314994716,0.0,-0.012622589284186404,-0.0126225892841863,-1.0408340855860843e-16,0.22212446790174697,0.2221244679017469,8.326672684688674e-17,-0.3322921613073303,-0.3322921613073303,0.0
13089,1,53,4.28086652932044,4.280866529320441,-8.881784197001252e-16,0.23497820401322123,0.2349782040132212,2.7755575615628914e-17,0.7890620733587406,0.7890620733587405,1.1102230246251565e-16,-0.06354685948220251,-0.0635468594822025,-1.3877787807814457e-17,-0.21599946706791834,-0.2159994670679184,5.551115123125783e-17
13091,4,22,-0.10398810636179923,-0.1039881063617992,-2.7755575615628914e-17,-0.09444210196164175,-0.0944421019616417,-5.551115123125783e-17,0.004456018086744534,0.0044560180867445,3.382710778154774e-17,-0.12895244452992263,-0.1289524445299226,-2.7755575615628914e-17,-0.25178835314634296,-0.2517883531463429,-5.551115123125783e-17
13093,4,22,-0.2579888345960322,-0.2579888345960322,0.0,-0.05625649689278383,-0.0562564968927838,-2.7755575615628914e-17,-0.04159170714294613,-0.0415917071429461,-3.469446951953614e-17,-0.16475432752694646,-0.1647543275269464,-5.551115123125783e-17,-0.19844943088795586,-0.1984494308879558,-5.551115123125783e-17
13095,2,19,0.6432384431267563,0.6432384431267563,0.0,-0.4877385922039752,-0.4877385922039751,-1.1102230246251565e-16,0.14161258364682316,0.1416125836468231,5.551115123125783e-17,0.3303584249011893,0.3303584249011893,0.0,-0.32278068512503694,-0.3227806851250369,-5.551115123125783e-17
13097,1,53,0.6664002834464683,0.666400283446468,3.3306690738754696e-16,0.13867098502699293,0.1386709850269928,1.3877787807814457e-16,0.8324930079668142,0.8324930079668141,1.1102230246251565e-16,-0.04851827904974004,-0.0485182790497398,-2.42861286636753e-16,-0.2058364877174985,-0.2058364877174985,0.0
13099,4,22,-0.0785279260347932,-0.0785279260347932,0.0,-0.046041448335410726,-0.0460414483354107,-2.7755575615628914e-17,-0.09966731105895593,-0.0996673110589558,-1.3877787807814457e-16,-0.19665927799869232,-0.1966592779986923,-2.7755575615628914e-17,-0.13203618237012843,-0.1320361823701284,-2.7755575615628914e-17
13101,6,21,-0.9683258860062137,-0.9683258860062136,-1.1102230246251565e-16,-0.19406596923583322,-0.1940659692358332,-2.7755575615628914e-17,0.320750197780123,0.320750197780123,0.0,0.28794015930113637,0.2879401593011365,-1.1102230246251565e-16,-0.5794692914100932,-0.5794692914100932,0.0
13103,4,22,-0.22539808101451717,-0.2253980810145172,2.7755575615628914e-17,-0.05411439847719511,-0.054114398477195,-1.1102230246251565e-16,0.02118622672030601,0.0211862267203059,1.1102230246251565e-16,-0.08317278497293579,-0.0831727849729358,1.3877787807814457e-17,-0.3253132053348483,-0.3253132053348483,0.0
13105,1,53,0.17338193061296603,0.173381930612966,2.7755575615628914e-17,0.3400893571719438,0.3400893571719438,0.0,0.6921142893210632,0.6921142893210632,0.0,-0.03604770057754009,-0.03604770057754,-9.020562075079397e-17,-0.32956860672317945,-0.3295686067231794,-5.551115123125783e-17
13107,3,17,-0.4425676490725177,-0.4425676490725176,-1.1102230246251565e-16,-0.04216874132196591,-0.0421687413219658,-1.1102230246251565e-16,0.8172063415318749,0.8172063415318749,0.0,0.06305967733242068,0.0630596773324206,8.326672684688674e-17,-0.2661164006807618,-0.2661164006807617,-1.1102230246251565e-16
13109,4,22,-0.4492525524973058,-0.4492525524973058,0.0,-0.06417855164267469,-0.0641785516426746,-9.71445146547012e-17,0.010182350335294577,0.0101823503352945,7.632783294297951e-17,-0.10014237535871351,-0.1001423753587135,-1.3877787807814457e-17,-0.31000213463664106,-0.310002134636641,-5.551115123125783e-17
13111,1,53,-0.4961423747935235,-0.4961423747935229,-6.106226635438361e-16,0.26844008520395335,0.2684400852039536,-2.7755575615628914e-16,0.7058297987642389,0.7058297987642389,0.0,0.08108143153696712,0.0810814315369669,2.220446049250313e-16,-0.2906964678280597,-0.2906964678280597,0.0
13113,1,53,1.5675738613768813,1.567573861376881,2.220446049250313e-16,0.19121446411971693,0.1912144641197168,1.3877787807814457e-16,0.8569310403861964,0.8569310403861964,0.0,-0.0726587554890511,-0.0726587554890509,-1.942890293094024e-16,-0.14571753356567194,-0.1457175335656718,-1.3877787807814457e-16
13115,1,53,0.38569396507789594,0.3856939650778959,5.551115123125783e-17,0.10025578344873887,0.1002557834487389,-2.7755575615628914e-17,0.808160302271667,0.8081603022716669,1.1102230246251565e-16,0.002760505970914151,0.0027605059709141,5.117434254131581e-17,-0.24938502967261772,-0.2493850296726176,-1.1102230246251565e-16
13117,1,53,0.03295050024544893,0.0329505002454492,-2.706168622523819e-16,0.2886387177985784,0.2886387177985785,-1.1102230246251565e-16,0.6715209034638809,0.6715209034638809,0.0,-0.02299835296296937,-0.0229983529629694,2.7755575615628914e-17,-0.3597542676757552,-0.3597542676757551,-1.1102230246251565e-16
13119,1,53,-0.23421706097632106,-0.2342170609763209,-1.6653345369377348e-16,0.3532769249443345,0.3532769249443346,-1.1102230246251565e-16,0.6629824720296794,0.6629824720296793,1.1102230246251565e-16,-0.0133170125572315,-0.0133170125572314,-1.0061396160665481e-16,-0.3636935957631168,-0.3636935957631167,-5.551115123125783e-17
13121,1,53,2.5646516406212103,2.56465164062121,4.440892098500626e-16,0.176908432187468,0.1769084321874679,8.326672684688674e-17,0.8203001027376862,0.820300102737686,1.1102230246251565e-16,-0.07384500536680516,-0.0738450053668051,-5.551115123125783e-17,-0.1996639256566552,-0.199663925656655,-1.942890293094024e-16
13123,1,53,-0.5771979412291807,-0.5771979412291807,0.0,0.2323798766225501,0.2323798766225498,3.0531133177191805e-16,0.7115884349631948,0.7115884349631949,-1.1102230246251565e-16,0.05389115564180491,0.0538911556418047,2.0816681711721685e-16,-0.30067165589960154,-0.3006716558996015,-5.551115123125783e-17
13125,5,27,-0.46117659325958144,-0.4611765932595814,-5.551115123125783e-17,0.13595162594967844,0.1359516259496784,2.7755575615628914e-17,0.4041092721038653,0.4041092721038653,0.0,-0.1463561675124519,-0.1463561675124519,0.0,-0.4421999642290025,-0.4421999642290025,0.0
